epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,11948.9,0.45953,0.27637,0.93507,0.85669,0.89676,0.92815,0.70345,0.94718,0.59372,0.97617,0.000614,0.000614,0.000614
72,12120,0.46717,0.2832,0.94667,0.83292,0.91401,0.9272,0.71301,0.9392,0.60074,0.97371,0.0005942,0.0005942,0.0005942
73,12289.6,0.45635,0.27566,0.94316,0.82049,0.91419,0.92889,0.7062,0.9333,0.59776,0.96238,0.0005744,0.0005744,0.0005744
74,12458.5,0.43861,0.27092,0.93525,0.86803,0.87708,0.93477,0.70507,0.93655,0.58564,0.97167,0.0005546,0.0005546,0.0005546
75,12628.8,0.45758,0.27981,0.93966,0.82561,0.93333,0.93733,0.71426,0.87899,0.54771,0.9584,0.0005348,0.0005348,0.0005348
76,12798.6,0.45216,0.27561,0.94324,0.88708,0.8,0.90456,0.69154,0.92002,0.70739,0.97496,0.000515,0.000515,0.000515
77,12971.4,0.4508,0.27935,0.93572,0.80873,0.91615,0.92027,0.72313,0.87011,0.59555,0.95722,0.0004952,0.0004952,0.0004952
78,13141.6,0.45838,0.2738,0.93814,0.8492,0.85,0.92739,0.70431,0.91938,0.62833,0.97458,0.0004754,0.0004754,0.0004754
79,13311,0.4511,0.26978,0.92827,0.82892,0.91667,0.93104,0.70994,0.93216,0.62233,0.9713,0.0004556,0.0004556,0.0004556
80,13482.4,0.44078,0.26478,0.94155,0.83538,0.9304,0.9364,0.71241,0.89021,0.60165,0.9692,0.0004358,0.0004358,0.0004358
81,13652,0.45149,0.27034,0.9342,0.81115,0.91667,0.91377,0.69093,0.91042,0.62403,0.95786,0.000416,0.000416,0.000416
82,13824.3,0.41893,0.25285,0.92632,0.82307,0.93044,0.91734,0.71131,0.90805,0.63012,0.9619,0.0003962,0.0003962,0.0003962
83,13995.8,0.43453,0.26404,0.914,0.83016,0.91667,0.91936,0.71174,0.8995,0.60959,0.96804,0.0003764,0.0003764,0.0003764
84,14165.8,0.43273,0.27169,0.92535,0.8199,0.9,0.9185,0.70055,0.91474,0.60814,0.97692,0.0003566,0.0003566,0.0003566
85,14337.5,0.43058,0.26869,0.93033,0.82323,0.95,0.9178,0.7116,0.89286,0.59393,0.95858,0.0003368,0.0003368,0.0003368
86,14508.1,0.40784,0.25358,0.91908,0.81947,0.93333,0.9253,0.72265,0.89303,0.58173,0.96931,0.000317,0.000317,0.000317
87,14677.9,0.40673,0.25426,0.92319,0.81784,0.89794,0.9285,0.72308,0.86264,0.57116,0.95234,0.0002972,0.0002972,0.0002972
88,14850.5,0.40424,0.24808,0.92751,0.80647,0.9,0.92133,0.69477,0.92174,0.57461,0.96838,0.0002774,0.0002774,0.0002774
89,15021.1,0.40741,0.24783,0.9206,0.85377,0.9,0.92738,0.70843,0.89061,0.56501,0.95499,0.0002576,0.0002576,0.0002576
90,15192.7,0.42051,0.25631,0.91225,0.83276,0.91667,0.93062,0.72,0.87937,0.5897,0.95071,0.0002378,0.0002378,0.0002378
91,15361.3,0.42818,0.31598,0.9227,0.84597,0.91541,0.93156,0.71851,0.92524,0.57317,0.99442,0.000218,0.000218,0.000218
92,15531.5,0.42186,0.26292,0.91087,0.83668,0.93333,0.93458,0.70091,0.91015,0.57561,0.98078,0.0001982,0.0001982,0.0001982
93,15701.5,0.41688,0.26228,0.906,0.81483,0.95344,0.93368,0.69883,0.88181,0.57079,0.97246,0.0001784,0.0001784,0.0001784
94,15870,0.40316,0.24438,0.90325,0.82407,0.91667,0.93117,0.70728,0.91961,0.62383,0.99223,0.0001586,0.0001586,0.0001586
95,16035.5,0.39783,0.24553,0.90108,0.84156,0.9,0.93014,0.71447,0.89025,0.61785,0.98153,0.0001388,0.0001388,0.0001388
96,16188.6,0.39339,0.24195,0.89873,0.83273,0.91276,0.93522,0.71547,0.92471,0.59382,0.99622,0.000119,0.000119,0.000119
97,16342,0.38729,0.2408,0.89558,0.8206,0.91483,0.93108,0.7108,0.91204,0.59813,0.9926,9.92e-05,9.92e-05,9.92e-05
98,16493.1,0.39029,0.23706,0.89853,0.87875,0.85,0.93221,0.71479,0.92377,0.62638,0.99171,7.94e-05,7.94e-05,7.94e-05
99,16647.9,0.38888,0.23414,0.89767,0.87326,0.85,0.92988,0.711,0.9141,0.6385,0.98782,5.96e-05,5.96e-05,5.96e-05
100,16799.9,0.3742,0.23338,0.88744,0.89104,0.85,0.93139,0.72023,0.90042,0.62042,0.98031,3.98e-05,3.98e-05,3.98e-05
